,before,word,after
346,33used single-cell transcriptomics to produce an equivalent map of all the cells ,within the, foetal human heart
347,The hypothesis that SARS-CoV-2 can reside ,within the," heart and, as a consequence, directly induce myocardial injury was evidenced by RT-PCR82and electron microscopy83in two independent studies, which demonstrated the presence of viral particles in cardiac biopsies fromCOVID-19 patients"
348, De novo cardiomyocytes from ,within the, activated adult heart after injury
349,5The authors ,suggest that, NADþsupplementation during a critical time window may be particularly beneficial for patients with chronic heart diseases
350," Thus, while some studies ",suggest that," iPSC-CM may be able to re- store the damaged heart, other studies suggest that additionalapproaches such as those mediated through paracrine mechanisms maybe required to provide meaningful benefit"
351," For example, miR-1, ",which is," critical for cardiacdevelopment and pathology, was only secreted by iPSC-CMs"
352," An interesting approach has been developed to reveal the ‘hidden cardiotoxicity’ of drugs, ",which is," defined as the cardio- toxicity of a drug that manifests in the diseased heart but not in the healthy heart, or as a drug-induced deterioration of cardiac stress adap- tation"
353, The year 2020 has brought relevant data to improve our understanding of the patho- physiological mechanisms behind IR and has ,identified, new potentialtherapeutic targets to limit infarct size and the consequent adversecardiac remodelling
354,"Mechanistically, the Thum lab ",identified, a link between H19 and the sup- pression of pro-hypertrophic NFAT (nuclear factor of activated T cells) signalling
355," proposed that there may be a mix of responders and non-responders to cardio- protective interventions, and they ",identified, the mitochondrial transcrip-tome as potentially involved
356, SLIT2 and Nephronectin (NPNT) were ,identified," as fibroblast-derived ECMreference components exerting proli ferative effects, thus revealing two putative molecular candidates for further investigation on themechanisms underlying bona fide cardiomyocyte cytokinesis from embryonic to adult stages"
357,20recently ,identified, a function for lymphatic endothelial cells (LECs) in orchestrating cardiomyocyte proliferation and survival duringheart development including the early post-natal regenerative stage
358," 38were able to ‘repurpose’ this technique, using T cells to recognize a novel cardiac fibroblast epitopethey ",identified,
359,39,identified," a novel calcitonin-mediated paracrine mech- anism between cardiomyocytes and fibroblasts in the human atrial myo- cardium that tightly regulates fibroblast function, preventing the accumulation of fibrous tissue and fibrogenesis"
360," Thus, miR-1956 acted as a functional exosome-messenger by downregulatingNotch-1 expression, which was ",identified, as a key mediator ofexosome-miR1956-VEGF signalling in AD-MSCs
361," 44showed that circRNA_000203 was upregulated in the myocardium of Angiotensin-II (AngII)-infused mice to induce cardiac hypertrophy, and ",identified, the potential mechanism involved
362," Using differentmechanistic approaches, the authors ",identified, lncRNA H19 as a media-tor of the pro-angiogenic effects induced by the atorvastatin-pretreated MSCs
363," Shock wave therapy (SWT) is frequently used as adjuvant therapy to improve wound healing, and a first-in-human study in patients with acute myocardial infarction was recently reported, 46although mechanisms involved were not ",identified,
364, 63,identified," a role for metabolic remodelling in cardiac hypertrophy by using an in vitro model of phenylephrine-induced hyper- trophy in primary adult rat cardiomyocytes, and an in vivo model of pres- sure overload-induced cardiac hypertrophy"
365," According to data obtained from single-cell RNA se-quencing, cardiomyocytes and pericytes were ",identified," as the cells withthe highest expression of ACE2 in the heart, with ACE2 expression detected at a lower level in other major cells isolated from myocardial tissue, including endothelial cells, fibroblasts, and leucocytes"
366,81,identified," cardiomyocytes as the cell type with the highest ACE2 expression, with ACE2 levels significantly elevated in thecardiomyocytes of patients with heart disease of different aetiology com- pared to healthy controls"
367,", 86a more recently published sys- tematic pathologic analysis of hearts from patients dying of COVID-19 infection has reported 35% of cases with evidence of cardiac injury and ",identified," microthrombi in myocardial capillaries, arterioles, and smallmuscular arteries as the leading cause of myocyte necrosis"
368," By immunohistochemi- cal and histological evaluation of the entire coronary tree, the authors ",identified," high endothelial ACE2 receptor expression specifically locatedin small epicardial vessels and lympho-monocytic inflammation increasing towards the small vessels, without involving the major coronary arteries"
369, Shock wave therapy (SWT) ,is frequently," used as adjuvant therapy to improve wound healing, and a first-in-human study in patients with acute myocardial infarction was recently reported, 46although mechanisms involved were not identified"
370, Thereis ,often, limited correlation with congenital heart disease affecting paedi-atric patients
371," Of note, tetralogy of Fallot, pulmonary artery hyperten-sion, and pulmonary stenosis in children are ",often, caused by pressureoverload in the right ventricle
372, Counteracting drug-induced cardiotoxicity: new insights for ad hoccardioprotection Myocardial dysfunction is ,often, reported as a long-term complication of chemotherapy-based treatments in cancer survivors
373," Cardiotoxicity can be caused by drugs other than chemotherapeutic agents and is, in fact, ",often, the cause for clinical failure or withdrawal of drugs from the market
374,"12In particular, the authors ",revealed a," specific role for BRAP in regulating cardiac development and cardiomyocyte cell-cycle control; BRAP ablation resulted in attenuation of neonatal cardiomyocyte cell- cycle progression and evoked lethal heart failure in vivo at post-natal age; conversely, its overexpression enhanced the engagement into the DNA duplication phase and reduced p21Cipexpression in neonatal cardiomyo- cytes"
375,"31After analysing approximately half a million single cells, this inves- tigation ",revealed a," surprising diversity of cell types in the heart, and unan- ticipated heterogeneity within cardiomyocytes, pericytes, and fibroblasts"
376,"5%), ",revealed a," remarkable interferon response in many cell types of the diseased heart, which indicates a therapeutic target"
